date,transaction_id,item_name,item_brand,item_category,ecommerce_purchases,item_purchase_quantity,item_revenue,purchase_revenue,total_purchasers,add_to_carts,checkouts
2025-04-29T00:00:00Z,txn_a36c23c593fa465698fad9b0,Starter Plan,Quantifiction,SaaS Subscription,1,1,29.0,29.0,1,1,1
2025-04-29T00:00:00Z,txn_ce07e183d6b44e5daf9e099b,Pro Plan,Quantifiction,SaaS Subscription,1,1,49.0,49.0,1,1,1
2025-04-29T00:00:00Z,txn_c9c259bcf69f4b0a85f7335f,Starter Plan,Quantifiction,SaaS Subscription,1,1,29.0,29.0,1,1,1
2025-04-29T00:00:00Z,txn_13c6e9d322224a8e82e9263c,Pro Plan,Quantifiction,SaaS Subscription,1,1,49.0,49.0,1,1,1
2025-04-29T00:00:00Z,txn_0cb49f6965434721b282c927,Growth Plan,Quantifiction,SaaS Subscription,1,1,39.0,39.0,1,1,1
2025-04-29T00:00:00Z,txn_50f0af6c012c4542832ae71b,Starter Plan,Quantifiction,SaaS Subscription,1,1,29.0,29.0,1,1,1
2025-04-29T00:00:00Z,txn_b294345a790444a99a83eb1b,Starter Plan,Quantifiction,SaaS Subscription,1,1,29.0,29.0,1,1,1
2025-04-29T00:00:00Z,txn_bd03efd1c4bc46b2a58ccb4f,Pro Plan,Quantifiction,SaaS Subscription,1,1,49.0,49.0,1,1,1
2025-04-29T00:00:00Z,txn_a341cbf39dde47d5a8333605,Enterprise Plan,Quantifiction,SaaS Subscription,1,1,149.0,149.0,1,1,1
2025-04-29T00:00:00Z,txn_0f9a80a1dbd049149d157711,Team Plan,Quantifiction,SaaS Subscription,1,1,79.0,79.0,1,1,1
2025-04-30T00:00:00Z,txn_55f822d3928645dc9e605f0e,Pro Plan,Quantifiction,SaaS Subscription,1,1,49.0,49.0,1,1,1
2025-04-30T00:00:00Z,txn_6df078a46e63440e90b848ce,Starter Plan,Quantifiction,SaaS Subscription,1,1,29.0,29.0,1,1,1
2025-04-30T00:00:00Z,txn_cb49bf0f61c44fb5a147dac8,Starter Plan,Quantifiction,SaaS Subscription,1,1,29.0,29.0,1,1,1
2025-04-30T00:00:00Z,txn_5cc18e41403043cc9a7079a7,Pro Plan,Quantifiction,SaaS Subscription,1,1,49.0,49.0,1,1,1
2025-04-30T00:00:00Z,txn_d90449b016f84ff9a23116a4,Growth Plan,Quantifiction,SaaS Subscription,1,1,39.0,39.0,1,1,1
2025-04-30T00:00:00Z,txn_9f6bbaa459984a3dba635b6d,Enterprise Plan,Quantifiction,SaaS Subscription,1,1,149.0,149.0,1,1,1
2025-04-30T00:00:00Z,txn_b77001e991314c5fa899a072,Team Plan,Quantifiction,SaaS Subscription,1,1,79.0,79.0,1,1,1
2025-04-30T00:00:00Z,txn_d8c2843de76047e4b7058ee4,Pro Plan,Quantifiction,SaaS Subscription,1,1,49.0,49.0,1,1,1
2025-05-01T00:00:00Z,txn_d08440687602450fbedca5c3,Growth Plan,Quantifiction,SaaS Subscription,1,1,39.0,39.0,1,1,1
2025-05-01T00:00:00Z,txn_ffdcca558cfe44e5a511c96e,Starter Plan,Quantifiction,SaaS Subscription,1,1,29.0,29.0,1,1,1
2025-05-01T00:00:00Z,txn_425f7c1f52a84ff48852a0f8,Growth Plan,Quantifiction,SaaS Subscription,1,1,39.0,39.0,1,1,1
2025-05-01T00:00:00Z,txn_05bcbee205524b938751777e,Pro Plan,Quantifiction,SaaS Subscription,1,1,49.0,49.0,1,1,1
2025-05-01T00:00:00Z,txn_8fd2d59c8f4343ecb6c1945e,Starter Plan,Quantifiction,SaaS Subscription,1,1,29.0,29.0,1,1,1
2025-05-01T00:00:00Z,txn_98928ccffb3a4bceb9ca3749,Starter Plan,Quantifiction,SaaS Subscription,1,1,29.0,29.0,1,1,1
